Date,Open,High,Low,Close,Adj Close,Volume
2023-03-06,153.789993,156.300003,153.460007,153.830002,153.617523,87558000
2023-03-07,153.699997,154.029999,151.130005,151.600006,151.390610,56182000
2023-03-08,152.809998,153.470001,151.830002,152.869995,152.658844,47204800
2023-03-09,153.559998,154.539993,150.229996,150.589996,150.381989,53833600
2023-03-10,150.210007,150.940002,147.610001,148.500000,148.294876,68572400
2023-03-13,147.809998,153.139999,147.699997,150.470001,150.262161,84457100
2023-03-14,151.279999,153.399994,150.100006,152.589996,152.379227,73695900
2023-03-15,151.190002,153.250000,149.919998,152.990005,152.778687,77167900
2023-03-16,152.160004,156.460007,151.639999,155.850006,155.634735,76161100
2023-03-17,156.080002,156.740005,154.279999,155.000000,154.785904,98944600
2023-03-20,155.070007,157.820007,154.149994,157.399994,157.182587,73641400
2023-03-21,157.320007,159.399994,156.539993,159.279999,159.059982,73938300
2023-03-22,159.300003,162.139999,157.809998,157.830002,157.612000,75701800
2023-03-23,158.830002,161.550003,157.679993,158.929993,158.710464,67622100
2023-03-24,158.860001,160.339996,157.850006,160.250000,160.028656,59196500
2023-03-27,159.940002,160.770004,157.869995,158.279999,158.061371,52390300
2023-03-28,157.970001,158.490005,155.979996,157.649994,157.432236,45992200
2023-03-29,159.369995,161.050003,159.350006,160.770004,160.547943,51305700
2023-03-30,161.529999,162.470001,161.270004,162.360001,162.135742,49501700
2023-03-31,162.440002,165.000000,161.910004,164.899994,164.672226,68749800
2023-04-03,164.270004,166.289993,164.220001,166.169998,165.940475,56976200
2023-04-04,166.600006,166.839996,165.110001,165.630005,165.401230,46278300
2023-04-05,164.740005,165.050003,161.800003,163.759995,163.533798,51511700
2023-04-06,162.429993,164.960007,162.000000,164.660004,164.432556,45390100
2023-04-10,161.419998,162.029999,160.080002,162.029999,161.806183,47716900
2023-04-11,162.350006,162.360001,160.509995,160.800003,160.577896,47644200
2023-04-12,161.220001,162.059998,159.779999,160.100006,159.878860,50133100
2023-04-13,161.630005,165.800003,161.419998,165.559998,165.331314,68445600
2023-04-14,164.589996,166.320007,163.820007,165.210007,164.981812,49386500
2023-04-17,165.089996,165.389999,164.029999,165.229996,165.001770,41516200
2023-04-18,166.100006,167.410004,165.649994,166.470001,166.240067,49923000
2023-04-19,165.800003,168.160004,165.539993,167.630005,167.398468,47720200
2023-04-20,166.089996,167.869995,165.559998,166.649994,166.419800,52456400
2023-04-21,165.050003,166.449997,164.490005,165.020004,164.792068,58337300
2023-04-24,165.000000,165.600006,163.889999,165.330002,165.101639,41949600
2023-04-25,165.190002,166.309998,163.729996,163.770004,163.543793,48714100
2023-04-26,163.059998,165.279999,162.800003,163.759995,163.533798,45498800
2023-04-27,165.190002,168.559998,165.190002,168.410004,168.177383,64902300
2023-04-28,168.490005,169.850006,167.880005,169.679993,169.445618,55209200
2023-05-01,169.279999,170.449997,168.639999,169.589996,169.355743,52472900
2023-05-02,170.089996,170.350006,167.539993,168.539993,168.307190,48425700
2023-05-03,169.500000,170.919998,167.160004,167.449997,167.218704,65136000
2023-05-04,164.889999,167.039993,164.309998,165.789993,165.560989,81235400
2023-05-05,170.979996,174.300003,170.759995,173.570007,173.330261,113316400
2023-05-08,172.479996,173.850006,172.110001,173.500000,173.260345,55962800
2023-05-09,173.050003,173.539993,171.600006,171.770004,171.532745,45326900
2023-05-10,173.020004,174.029999,171.899994,173.559998,173.320267,53724500
2023-05-11,173.850006,174.589996,172.169998,173.750000,173.510010,49514700
2023-05-12,173.619995,174.059998,171.000000,172.570007,172.570007,45497800
2023-05-15,173.160004,173.210007,171.470001,172.070007,172.070007,37266700
2023-05-16,171.990005,173.139999,171.800003,172.070007,172.070007,42110300
2023-05-17,171.710007,172.929993,170.419998,172.690002,172.690002,57951600
2023-05-18,173.000000,175.240005,172.580002,175.050003,175.050003,65496700
2023-05-19,176.389999,176.389999,174.940002,175.160004,175.160004,55772400
2023-05-22,173.979996,174.710007,173.449997,174.199997,174.199997,43570900
2023-05-23,173.130005,173.380005,171.279999,171.559998,171.559998,50747300
2023-05-24,171.089996,172.419998,170.520004,171.839996,171.839996,45143500
2023-05-25,172.410004,173.899994,171.690002,172.990005,172.990005,56058300
2023-05-26,173.320007,175.770004,173.110001,175.429993,175.429993,54835000
2023-05-30,176.960007,178.990005,176.570007,177.300003,177.300003,55964400
2023-05-31,177.330002,179.350006,176.759995,177.250000,177.250000,99625300
2023-06-01,177.699997,180.119995,176.929993,180.089996,180.089996,68901800
2023-06-02,181.029999,181.779999,179.259995,180.949997,180.949997,61945900
